identity,name,parentId,type,class,parentRelation,context
MATHS:1,Maths,MATHS:0,concept,concept,subconcept of,Maths
MATHS:2,Sets,MATHS:1,concept,concept,subconcept of,Maths
MATHS:3,Sets Representation,MATHS:2,concept,concept,subconcept of,Sets
MATHS:4,Roster or Tabular,MATHS:3,concept,concept,subconcept of,Set Representation
MATHS:5,Set Builder,MATHS:3,concept,concept,subconcept of,Set Representation
MATHS:6,Empty Set,MATHS:2,concept,concept,subconcept of,Sets
MATHS:7,Finite Sets,MATHS:2,concept,concept,subconcept of,Sets
MATHS:8,Infinite Sets,MATHS:2,concept,concept,subconcept of,Sets
MATHS:9,Equal Sets,MATHS:2,concept,concept,subconcept of,Sets
MATHS:10,Subsets,MATHS:2,concept,concept,subconcept of,Sets
MATHS:11,Subsets of set of real numbers,MATHS:10,concept,concept,subconcept of,Subsets
MATHS:12,Intervals as subsets of R,MATHS:10,concept,concept,subconcept of,Subsets
MATHS:13,Power Set,MATHS:2,concept,concept,subconcept of,Sets
MATHS:14,Universal Set,MATHS:2,concept,concept,subconcept of,Sets
MATHS:15,Venn Diagrams,MATHS:2,concept,concept,subconcept of,Sets
MATHS:16,Operations on Sets,MATHS:2,concept,concept,subconcept of,Sets
MATHS:17,Union of sets,MATHS:16,concept,concept,subconcept of,Operations on Sets
MATHS:18,Intersection of sets,MATHS:16,concept,concept,subconcept of,Operations on Sets
MATHS:19,Difference of sets,MATHS:16,concept,concept,subconcept of,Operations on Sets
MATHS:20,Complement of a Set,MATHS:2,concept,concept,subconcept of,Sets
MATHS:21,Complement laws,MATHS:20,concept,concept,subconcept of,Complement of a Set
MATHS:22,De Morgan’s law,MATHS:20,concept,concept,subconcept of,Complement of a Set
MATHS:23,Law of double complementation,MATHS:20,concept,concept,subconcept of,Complement of a Set
MATHS:24,Laws of empty set,MATHS:20,concept,concept,subconcept of,Complement of a Set
MATHS:25,Laws of universal set,MATHS:20,concept,concept,subconcept of,Complement of a Set
MATHS:26,Relations And Functions,MATHS:2,concept,concept,subconcept of,Sets
MATHS:27,Cartesian Products of Sets,MATHS:25,concept,concept,subconcept of,Relations And Functions
MATHS:28,Relations,MATHS:25,concept,concept,subconcept of,Relations And Functions
MATHS:29,Functions,MATHS:25,concept,concept,subconcept of,Relations And Functions
